Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Prob Max,Prob Mean,Prob p99.9,Frac Pixels > 0.5,Test Dice @0.5,Best Threshold,Test Dice @best,Dice Range 0.3-0.7,Diagnosis,Dice @0.05,Dice @0.10,Dice @0.15,Dice @0.20,Dice @0.25,Dice @0.30,Dice @0.35,Dice @0.40,Dice @0.45,Dice @0.50,Dice @0.55,Dice @0.60,Dice @0.65,Dice @0.70,Dice @0.75,Dice @0.80,Dice @0.85,Dice @0.90,Dice @0.95
KDSB,BT-UNet,outbn0,20,3,fold,1.0,0.1854117512702942,1.0,0.18304525839315877,0.8432829976081848,0.25,0.8467280864715576,0.010311305522918701,healthy,0.8256992101669312,0.8395482897758484,0.8440896272659302,0.8460923433303833,0.8467280864715576,0.8465967774391174,0.8462479710578918,0.845454752445221,0.8445218801498413,0.8432829976081848,0.8418178558349609,0.8403316736221313,0.8386310338973999,0.8362854719161987,0.8336235880851746,0.8304045796394348,0.8254210352897644,0.8176053762435913,0.8013229370117188
KDSB,BT-UNet,outbn0,20,4,fold,1.0,0.1773572862148285,1.0,0.17583912342518299,0.8336173295974731,0.45,0.8339788913726807,0.005047261714935303,healthy,0.8166382908821106,0.8247995972633362,0.8283160328865051,0.8304174542427063,0.8317418694496155,0.832656979560852,0.8333919644355774,0.8338020443916321,0.8339788913726807,0.8336173295974731,0.8330624103546143,0.8321875333786011,0.830681562423706,0.8289316296577454,0.8261594176292419,0.8225781321525574,0.817255437374115,0.8085996508598328,0.7900876402854919
KDSB,BT-UNet,base,50,0,fold,0.99267578125,0.33031463623046875,0.97998046875,0.20851231480503943,0.8570743203163147,0.75,0.8668427467346191,0.03808087110519409,healthy,0.2908146381378174,0.2908150851726532,0.29214155673980713,0.7677106857299805,0.812450647354126,0.8286374807357788,0.8387956619262695,0.8464663624763489,0.852527379989624,0.8570743203163147,0.8607771396636963,0.8638076186180115,0.8657094836235046,0.8667183518409729,0.8668427467346191,0.8646185994148254,0.8575727343559265,0.8370298743247986,0.7457190752029419
KDSB,BT-UNet,base,50,1,fold,1.0,0.4614628255367279,0.99853515625,0.4656215358424831,0.5554370880126953,0.85,0.6469709873199463,0.12780725955963135,threshold-sensitive,0.2937769293785095,0.3466894328594208,0.40782591700553894,0.4466429352760315,0.47240352630615234,0.4919869303703308,0.5083296298980713,0.5239651799201965,0.5397785902023315,0.5554370880126953,0.5712041258811951,0.5892230868339539,0.6053802967071533,0.6197941899299622,0.6338558197021484,0.6463679671287537,0.6469709873199463,0.6268640756607056,0.5512748956680298
KDSB,BT-UNet,base,50,2,fold,0.99462890625,0.33596473932266235,0.98388671875,0.21672841664907094,0.8475301861763,0.8,0.8699795007705688,0.05135083198547363,threshold-sensitive,0.2908146381378174,0.2908146381378174,0.2922830581665039,0.7585282325744629,0.7971049547195435,0.8140819072723389,0.8258159160614014,0.8344668745994568,0.841743528842926,0.8475301861763,0.8526708483695984,0.8574604392051697,0.8618422746658325,0.8654327392578125,0.8682667016983032,0.8699795007705688,0.8695206046104431,0.8626020550727844,0.8026001453399658
KDSB,BT-UNet,base,50,3,fold,1.0,0.47700271010398865,0.99951171875,0.44846282134184967,0.5893369317054749,0.8,0.6374300122261047,0.10374820232391357,threshold-sensitive,0.29449713230133057,0.3499436378479004,0.44231146574020386,0.4788052439689636,0.5032358169555664,0.523517906665802,0.5425866842269897,0.5604192614555359,0.5757260322570801,0.5893369317054749,0.600746214389801,0.6101551055908203,0.6186457276344299,0.6272661089897156,0.6336849927902222,0.6374300122261047,0.6354888081550598,0.6206764578819275,0.5810290575027466
KDSB,BT-UNet,base,50,4,fold,0.98876953125,0.3768855631351471,0.9697265625,0.20777590639956361,0.8318837285041809,0.65,0.8386864066123962,0.05925852060317993,healthy,0.2908146381378174,0.2908146381378174,0.29082533717155457,0.29093030095100403,0.6510643362998962,0.7794278860092163,0.804986834526062,0.8183936476707458,0.8264966607093811,0.8318837285041809,0.8358792662620544,0.8382261395454407,0.8386864066123962,0.8368780612945557,0.8331925868988037,0.8260372281074524,0.8124046921730042,0.7779919505119324,0.35208621621131897
KDSB,BT-UNet,outbn0,50,0,fold,1.0,0.17858171463012695,1.0,0.17754893259959179,0.838672399520874,0.2,0.8412743806838989,0.007340848445892334,healthy,0.832050085067749,0.8385466933250427,0.8407494425773621,0.8412743806838989,0.8412565588951111,0.8409241437911987,0.8404110670089722,0.8402163982391357,0.8396214246749878,0.838672399520874,0.837618350982666,0.8367696404457092,0.8353281617164612,0.8335832953453064,0.8310651183128357,0.8279535174369812,0.8234881162643433,0.8162509202957153,0.7999861836433411
KDSB,BT-UNet,outbn0,50,1,fold,1.0,0.18335507810115814,1.0,0.18312842566687781,0.8608927130699158,0.35,0.8619465231895447,0.006417632102966309,healthy,0.8459137678146362,0.8545199036598206,0.8584461808204651,0.8603298664093018,0.8612951040267944,0.861710786819458,0.8619465231895447,0.8617472052574158,0.8614529371261597,0.8608927130699158,0.8600888848304749,0.8588776588439941,0.8574411273002625,0.8555288910865784,0.8530786633491516,0.8498560190200806,0.8449274301528931,0.8369147777557373,0.819756269454956
KDSB,BT-UNet,outbn0,50,2,fold,1.0,0.1846522092819214,1.0,0.18431421228357264,0.8580569624900818,0.4,0.8583283424377441,0.0040895938873291016,healthy,0.8376838564872742,0.8474364280700684,0.8522404432296753,0.8549121022224426,0.8565554022789001,0.8575168251991272,0.8580471277236938,0.8583283424377441,0.8582476377487183,0.8580569624900818,0.8575650453567505,0.8566930890083313,0.8556499481201172,0.854238748550415,0.8520412445068359,0.8490763902664185,0.8447604775428772,0.8370116353034973,0.8206996321678162
