Dataset,Model,Variant,Label Fraction (%),n,mean,std,median,min,max,collapsed,collapse_rate,bimodal
ISIC2018,BT-UNet,e50,5,5,0.5452619194984436,0.009350028723838366,0.5459840297698975,0.53098464012146,0.5542313456535339,0,0.0,False
ISIC2018,BT-UNet,frozen,1,5,0.5700935542583465,0.051443323972825306,0.588952898979187,0.4822787344455719,0.6094938516616821,0,0.0,False
ISIC2018,BT-UNet,frozen,5,5,0.5674421548843384,0.024704577366527355,0.562961995601654,0.5440611839294434,0.5995412468910217,0,0.0,False
ISIC2018,BT-UNet,frozen,10,5,0.6649263143539429,0.06953518034703152,0.6271876096725464,0.5981948375701904,0.7427599430084229,0,0.0,False
ISIC2018,BT-UNet,lambda0001,5,5,0.5815944194793701,0.04039934428155504,0.6053891181945801,0.5325137376785278,0.6194366216659546,0,0.0,False
ISIC2018,BT-UNet,lambda002,5,5,0.5593999028205872,0.027996667533505014,0.5536651611328125,0.5309555530548096,0.6054650545120239,0,0.0,False
ISIC2018,BT-UNet,lossbce,5,5,0.6108657360076905,0.010838583653874632,0.6054818630218506,0.600281298160553,0.6231665015220642,0,0.0,False
ISIC2018,BT-UNet,lossdice,5,5,0.605992603302002,0.029433197578222922,0.6176899671554565,0.557121217250824,0.6312046647071838,0,0.0,False
ISIC2018,BT-UNet,proj2048,5,5,0.5504231095314026,0.12014174884324627,0.5298095941543579,0.4294460415840149,0.7472331523895264,0,0.0,False
ISIC2018,BT-UNet,proj256,5,5,0.5886440396308898,0.015515484125184914,0.590304970741272,0.5641477704048157,0.6072661876678467,0,0.0,False
ISIC2018,BT-UNet,proj512,5,5,0.5842388868331909,0.04105144543871139,0.5827894806861877,0.5453595519065857,0.6437893509864807,0,0.0,False
ISIC2018,BT-UNet,sslbudget20,20,5,0.8311790227890015,0.0060390713364915916,0.834220826625824,0.821878969669342,0.8365529179573059,0,0.0,False
ISIC2018,BT-UNet,sslbudget5,5,5,0.00011206419731019999,1.5152185993940876e-20,0.0001120641973102,0.0001120641973102,0.0001120641973102,5,1.0,False
ISIC2018,Baseline,base,1,5,0.3220338408747921,0.2983323211235869,0.4510755836963653,0.0001120641973102,0.5827707052230835,2,0.4,True
ISIC2018,Baseline,base,5,5,0.23355649248,0.2927241112205868,0.062652834,0.0001120642,0.5765288,3,0.6,True
ISIC2018,Baseline,base,10,5,0.801795912,0.0076760342628026165,0.79855806,0.7945389,0.8136492,0,0.0,False
ISIC2018,Baseline,base,20,5,0.835149648,0.003778212410422434,0.83532476,0.82931095,0.83911276,0,0.0,False
ISIC2018,Baseline,base,50,5,0.8495929520000001,0.003948091231186249,0.8508305,0.84343016,0.8528237,0,0.0,False
ISIC2018,Baseline,lossbce,5,5,0.08668978835921728,0.1671483380959399,0.000318589474773,0.0001120641973102,0.383242130279541,4,0.8,False
ISIC2018,Baseline,lossdice,5,5,0.21579076201014685,0.2015922223840138,0.2075291574001312,0.0001120641973102,0.51646888256073,2,0.4,True
ISIC2018,SimSiam,aug025,5,5,0.652071225643158,0.08050767683279744,0.6179044842720032,0.6074627637863159,0.7955726385116577,0,0.0,False
ISIC2018,SimSiam,aug100,5,5,0.6630318999290467,0.11624367091338224,0.6037715673446655,0.5560593605041504,0.8073375821113586,0,0.0,False
ISIC2018,SimSiam,base,1,5,0.5303582966327667,0.05439621408767569,0.5161850452423096,0.4598462283611297,0.6027737259864807,0,0.0,False
ISIC2018,SimSiam,base,5,5,0.6310889482498169,0.1001023367320966,0.5953750610351562,0.5469202399253845,0.804386556148529,0,0.0,False
ISIC2018,SimSiam,base,10,5,0.7327260971069336,0.12308879030428849,0.8083348274230957,0.5950128436088562,0.8312694430351257,0,0.0,False
ISIC2018,SimSiam,base,20,5,0.8402344703674316,0.003555743002480192,0.8414045572280884,0.8352803587913513,0.8435103297233582,0,0.0,False
ISIC2018,SimSiam,base,50,5,0.8524402260780335,0.004265498805553003,0.8507272601127625,0.8473817110061646,0.8574095964431763,0,0.0,False
ISIC2018,SimSiam,bs32,5,5,0.6223213911056519,0.09544137831713805,0.5776407718658447,0.5633275508880615,0.7908377051353455,0,0.0,False
ISIC2018,SimSiam,bs64,5,5,0.6054895281791687,0.037582540194373015,0.5913923978805542,0.5823597311973572,0.6716403365135193,0,0.0,False
ISIC2018,SimSiam,cropflip,5,5,0.6145368456840515,0.07452544874974074,0.5877726674079895,0.573651134967804,0.7472896575927734,0,0.0,False
ISIC2018,SimSiam,e0,5,5,0.3559994027018547,0.24077594293686563,0.4140327274799347,0.0878856927156448,0.5816766023635864,1,0.2,True
ISIC2018,SimSiam,e200,5,5,0.6105106592178344,0.0932907513958394,0.5960971713066101,0.5407313108444214,0.7683249711990356,0,0.0,False
ISIC2018,SimSiam,e25,5,5,0.6224336266517639,0.10677146399169565,0.5864264369010925,0.5429848432540894,0.8097215890884399,0,0.0,False
