Dataset,Model,Variant,Label Fraction (%),Kind,Filter,Folds Combined,Folds Total,Excluded Folds,Test Dice @0.5,Best Threshold,Test Dice @best,Dice @0.05,Dice @0.10,Dice @0.15,Dice @0.20,Dice @0.25,Dice @0.30,Dice @0.35,Dice @0.40,Dice @0.45,Dice @0.50,Dice @0.55,Dice @0.60,Dice @0.65,Dice @0.70,Dice @0.75,Dice @0.80,Dice @0.85,Dice @0.90,Dice @0.95
ISIC2018,Baseline,outbn0,10,ensemble,filtered,5,5,,0.8205269575119019,0.4,0.8209490776062012,0.7693250775337219,0.7920792102813721,0.8042654395103455,0.8120173215866089,0.8167928457260132,0.8195573687553406,0.8208867311477661,0.8209490776062012,0.8206998109817505,0.8205269575119019,0.8199808597564697,0.818625807762146,0.8162758350372314,0.8134137988090515,0.8093225359916687,0.8035407662391663,0.7962541580200195,0.7866429090499878,0.7686868906021118
ISIC2018,Baseline,outbn0,10,ensemble,unfiltered,5,5,,0.8205269575119019,0.4,0.8209490776062012,0.7693250775337219,0.7920792102813721,0.8042654395103455,0.8120173215866089,0.8167928457260132,0.8195573687553406,0.8208867311477661,0.8209490776062012,0.8206998109817505,0.8205269575119019,0.8199808597564697,0.818625807762146,0.8162758350372314,0.8134137988090515,0.8093225359916687,0.8035407662391663,0.7962541580200195,0.7866429090499878,0.7686868906021118
ISIC2018,SimSiam,base,1,ensemble,filtered,5,5,,0.5371639728546143,0.85,0.6087533235549927,0.4157465398311615,0.4187358021736145,0.4425494074821472,0.4744058847427368,0.4936836063861847,0.505684494972229,0.5142728686332703,0.5215450525283813,0.5288624167442322,0.5371639728546143,0.5474672913551331,0.5613911151885986,0.5778432488441467,0.5922650098800659,0.6017953157424927,0.6086413860321045,0.6087533235549927,0.6026468276977539,0.5722895860671997
ISIC2018,SimSiam,base,1,ensemble,unfiltered,5,5,,0.5371639728546143,0.85,0.6087533235549927,0.4157465398311615,0.4187358021736145,0.4425494074821472,0.4744058847427368,0.4936836063861847,0.505684494972229,0.5142728686332703,0.5215450525283813,0.5288624167442322,0.5371639728546143,0.5474672913551331,0.5613911151885986,0.5778432488441467,0.5922650098800659,0.6017953157424927,0.6086413860321045,0.6087533235549927,0.6026468276977539,0.5722895860671997
ISIC2018,SimSiam,base,5,ensemble,filtered,5,5,,0.6232961416244507,0.85,0.7415092587471008,0.43238890171051025,0.49071550369262695,0.5237499475479126,0.5509223341941833,0.5741890072822571,0.5904043912887573,0.6014924049377441,0.6097372770309448,0.616894543170929,0.6232961416244507,0.6300933957099915,0.63737952709198,0.6460190415382385,0.655843198299408,0.6659752726554871,0.6808299422264099,0.7415092587471008,0.7251728773117065,0.6958442330360413
ISIC2018,SimSiam,base,5,ensemble,unfiltered,5,5,,0.6232961416244507,0.85,0.7415092587471008,0.43238890171051025,0.49071550369262695,0.5237499475479126,0.5509223341941833,0.5741890072822571,0.5904043912887573,0.6014924049377441,0.6097372770309448,0.616894543170929,0.6232961416244507,0.6300933957099915,0.63737952709198,0.6460190415382385,0.655843198299408,0.6659752726554871,0.6808299422264099,0.7415092587471008,0.7251728773117065,0.6958442330360413
ISIC2018,SimSiam,base,10,ensemble,filtered,5,5,,0.8159884214401245,0.6,0.8256955146789551,0.41637176275253296,0.5210242867469788,0.579115092754364,0.6109404563903809,0.635841965675354,0.6597283482551575,0.6805330514907837,0.7025802135467529,0.7609474062919617,0.8159884214401245,0.8229134678840637,0.8256955146789551,0.8199430704116821,0.811955988407135,0.8021968007087708,0.7867921590805054,0.7700216770172119,0.7512101531028748,0.7193784117698669
ISIC2018,SimSiam,base,10,ensemble,unfiltered,5,5,,0.8159884214401245,0.6,0.8256955146789551,0.41637176275253296,0.5210242867469788,0.579115092754364,0.6109404563903809,0.635841965675354,0.6597283482551575,0.6805330514907837,0.7025802135467529,0.7609474062919617,0.8159884214401245,0.8229134678840637,0.8256955146789551,0.8199430704116821,0.811955988407135,0.8021968007087708,0.7867921590805054,0.7700216770172119,0.7512101531028748,0.7193784117698669
ISIC2018,SimSiam,base,20,ensemble,filtered,5,5,,0.8497922420501709,0.55,0.8501759171485901,0.8096715211868286,0.8186683058738708,0.8249698877334595,0.8335965871810913,0.8415572643280029,0.8442758917808533,0.8465155959129333,0.8486235737800598,0.8491843342781067,0.8497922420501709,0.8501759171485901,0.849647581577301,0.8487525582313538,0.8485903143882751,0.8480961322784424,0.8435395359992981,0.8394084572792053,0.8369253873825073,0.8331089019775391
ISIC2018,SimSiam,base,20,ensemble,unfiltered,5,5,,0.8497922420501709,0.55,0.8501759171485901,0.8096715211868286,0.8186683058738708,0.8249698877334595,0.8335965871810913,0.8415572643280029,0.8442758917808533,0.8465155959129333,0.8486235737800598,0.8491843342781067,0.8497922420501709,0.8501759171485901,0.849647581577301,0.8487525582313538,0.8485903143882751,0.8480961322784424,0.8435395359992981,0.8394084572792053,0.8369253873825073,0.8331089019775391
ISIC2018,SimSiam,base,50,ensemble,filtered,5,5,,0.8630220890045166,0.7,0.8656560182571411,0.8092762231826782,0.8218739628791809,0.830487847328186,0.8404910564422607,0.8479918241500854,0.8520378470420837,0.8555406332015991,0.858859658241272,0.8610421419143677,0.8630220890045166,0.8646199703216553,0.8652963042259216,0.8652951121330261,0.8656560182571411,0.8654657006263733,0.8623431921005249,0.8591200113296509,0.8574568629264832,0.8546227812767029
ISIC2018,SimSiam,base,50,ensemble,unfiltered,5,5,,0.8630220890045166,0.7,0.8656560182571411,0.8092762231826782,0.8218739628791809,0.830487847328186,0.8404910564422607,0.8479918241500854,0.8520378470420837,0.8555406332015991,0.858859658241272,0.8610421419143677,0.8630220890045166,0.8646199703216553,0.8652963042259216,0.8652951121330261,0.8656560182571411,0.8654657006263733,0.8623431921005249,0.8591200113296509,0.8574568629264832,0.8546227812767029
ISIC2018,SimSiam,outbn0,5,ensemble,filtered,5,5,,0.7850655317306519,0.55,0.7852774858474731,0.617160439491272,0.68744957447052,0.721144437789917,0.741729199886322,0.7540264129638672,0.7623089551925659,0.7690945863723755,0.7770198583602905,0.7836020588874817,0.7850655317306519,0.7852774858474731,0.7841772437095642,0.7809568047523499,0.7765947580337524,0.7698929309844971,0.7577647566795349,0.7366485595703125,0.7162871360778809,0.6855806112289429
