Dataset,Model,Variant,Label Fraction (%),Folds run,Fold mean Test Dice,Fold std Test Dice,Fold median Test Dice,Collapsed folds,bimodal,Ensemble Test Dice (filtered),Folds combined (filtered),Ensemble Test Dice (unfiltered),Folds combined (unfiltered)
ISIC2018,BT-UNet,e25,5,5,0.5537349700927734,0.019455676828873492,0.5524374842643738,0,False,0.5750166177749634,5.0,0.5750166177749634,5
ISIC2018,BT-UNet,e50,5,5,0.5452619194984436,0.009350028723838366,0.5459840297698975,0,False,0.5748516917228699,5.0,0.5748516917228699,5
ISIC2018,BT-UNet,frozen,1,5,0.5700935542583465,0.051443323972825306,0.588952898979187,0,False,0.5892903804779053,5.0,0.5892903804779053,5
ISIC2018,BT-UNet,frozen,5,5,0.5674421548843384,0.024704577366527355,0.562961995601654,0,False,0.5896913409233093,5.0,0.5896913409233093,5
ISIC2018,BT-UNet,frozen,10,5,0.6649263143539429,0.06953518034703152,0.6271876096725464,0,False,0.6977708339691162,5.0,0.6977708339691162,5
ISIC2018,BT-UNet,lambda0001,5,5,0.5815944194793701,0.04039934428155504,0.6053891181945801,0,False,0.5950273275375366,5.0,0.5950273275375366,5
ISIC2018,BT-UNet,lambda002,5,5,0.5593999028205872,0.027996667533505014,0.5536651611328125,0,False,0.56092369556427,5.0,0.56092369556427,5
ISIC2018,BT-UNet,lossbce,5,5,0.6108657360076905,0.010838583653874632,0.6054818630218506,0,False,0.6276087164878845,5.0,0.6276087164878845,5
ISIC2018,BT-UNet,lossdice,5,5,0.605992603302002,0.029433197578222922,0.6176899671554565,0,False,0.6220183968544006,5.0,0.6220183968544006,5
ISIC2018,BT-UNet,proj2048,5,5,0.5504231095314026,0.12014174884324627,0.5298095941543579,0,False,0.5624564290046692,5.0,0.5624564290046692,5
ISIC2018,BT-UNet,proj256,5,5,0.5886440396308898,0.015515484125184914,0.590304970741272,0,False,0.6131093502044678,5.0,0.6131093502044678,5
ISIC2018,BT-UNet,proj512,5,5,0.5842388868331909,0.04105144543871139,0.5827894806861877,0,False,0.5896211266517639,5.0,0.5896211266517639,5
ISIC2018,BT-UNet,sslbudget20,20,5,0.8311790227890015,0.0060390713364915916,0.834220826625824,0,False,0.8436778783798218,5.0,0.8436778783798218,5
ISIC2018,BT-UNet,sslbudget5,5,5,0.00011206419731019999,1.5152185993940876e-20,0.0001120641973102,5,False,,,0.0001120641973102,5
ISIC2018,Baseline,base,1,5,0.3220338408747921,0.2983323211235869,0.4510755836963653,2,True,0.5840202569961548,3.0,0.2321437001228332,5
ISIC2018,Baseline,base,5,5,0.23355649248,0.2927241112205868,0.062652834,3,True,0.6115514,2.0,0.0193179138004779,5
ISIC2018,Baseline,base,10,5,0.801795912,0.0076760342628026165,0.79855806,0,False,0.8128191,5.0,0.8128191232681274,5
ISIC2018,Baseline,base,20,5,0.835149648,0.003778212410422434,0.83532476,0,False,0.8475615,5.0,0.8475614786148071,5
ISIC2018,Baseline,base,50,5,0.8495929520000001,0.003948091231186249,0.8508305,0,False,0.8603432,5.0,0.8603432178497314,5
ISIC2018,Baseline,lossbce,5,5,0.08668978835921728,0.1671483380959399,0.000318589474773,4,False,0.383242130279541,1.0,0.0001120641973102,5
ISIC2018,Baseline,lossdice,5,5,0.21579076201014685,0.2015922223840138,0.2075291574001312,2,True,0.3052099645137787,3.0,0.0753678679466247,5
ISIC2018,SimSiam,aug025,5,5,0.652071225643158,0.08050767683279744,0.6179044842720032,0,False,0.6413641571998596,5.0,0.6413641571998596,5
ISIC2018,SimSiam,aug100,5,5,0.6630318999290467,0.11624367091338224,0.6037715673446655,0,False,0.6739153265953064,5.0,0.6739153265953064,5
ISIC2018,SimSiam,base,1,5,0.5303582966327667,0.05439621408767569,0.5161850452423096,0,False,0.5371633172035217,5.0,0.5371633172035217,5
ISIC2018,SimSiam,base,5,5,0.6310889482498169,0.1001023367320966,0.5953750610351562,0,False,0.6232956051826477,5.0,0.6232956051826477,5
ISIC2018,SimSiam,base,10,5,0.7327260971069336,0.12308879030428849,0.8083348274230957,0,False,0.8159894943237305,5.0,0.8159894943237305,5
ISIC2018,SimSiam,base,20,5,0.8402344703674316,0.003555743002480192,0.8414045572280884,0,False,0.8497920036315918,5.0,0.8497920036315918,5
ISIC2018,SimSiam,base,50,5,0.8524402260780335,0.004265498805553003,0.8507272601127625,0,False,0.8630213737487793,5.0,0.8630213737487793,5
ISIC2018,SimSiam,bs32,5,5,0.6223213911056519,0.09544137831713805,0.5776407718658447,0,False,0.6200729012489319,5.0,0.6200729012489319,5
ISIC2018,SimSiam,bs64,5,5,0.6054895281791687,0.037582540194373015,0.5913923978805542,0,False,0.6049845218658447,5.0,0.6049845218658447,5
ISIC2018,SimSiam,cropflip,5,5,0.6145368456840515,0.07452544874974074,0.5877726674079895,0,False,0.600009560585022,5.0,0.600009560585022,5
ISIC2018,SimSiam,e0,5,5,0.3559994027018547,0.24077594293686563,0.4140327274799347,1,True,0.390470415353775,4.0,0.2950219213962555,5
ISIC2018,SimSiam,e200,5,5,0.6105106592178344,0.0932907513958394,0.5960971713066101,0,False,0.625116765499115,5.0,0.625116765499115,5
ISIC2018,SimSiam,e25,5,5,0.6224336266517639,0.10677146399169565,0.5864264369010925,0,False,0.618679940700531,5.0,0.618679940700531,5
