Dataset,Model,Fraction,Variant,n,collapsed,mean,median,std,d_mean,d_median,SE,d/SE,verdict
KDSB,BT-UNet,5,bs32,5,0,0.5705000638961792,0.5752978920936584,0.03597133153893073,0.03682402968406684,0.042974650859832764,0.039466370766247684,0.9330482881785366,noise
KDSB,BT-UNet,5,w8,5,0,0.5698220729827881,0.5760070085525513,0.05088351263146299,0.03614603877067568,0.043683767318725586,0.04262198323008264,0.8480609308006993,noise
KDSB,BT-UNet,5,lambda002,5,0,0.5601749181747436,0.5555580258369446,0.017703194743881934,0.026498883962631226,0.023234784603118896,0.03689834283203186,0.718159188971144,noise
KDSB,BT-UNet,5,proj2048,5,0,0.5585688054561615,0.5715166330337524,0.0461061415956721,0.024892771244049094,0.03919339179992676,0.041520625494929964,0.599527847842483,noise
KDSB,BT-UNet,5,lossbce,5,0,0.5583867073059082,0.5627787113189697,0.045809634099965586,0.02471067309379582,0.030455470085144043,0.04145493454580216,0.5960852034754471,noise
KDSB,BT-UNet,5,actelu,5,0,0.553408282995224,0.5539540648460388,0.0548146672642224,0.01973224878311164,0.021630823612213135,0.04358596829691498,0.4527202114380533,noise
KDSB,BT-UNet,5,actsilu,5,0,0.536295086145401,0.523026168346405,0.06087681073207522,0.0026190519332885964,-0.009297072887420654,0.04516640676325688,0.05798672334101214,noise
KDSB,BT-UNet,5,base,5,0,0.5336760342121124,0.5323232412338257,0.08058557820485608,0.0,0.0,,,reference
KDSB,BT-UNet,5,e200,5,0,0.5316142201423645,0.5496098399162292,0.042584903404193256,-0.002061814069747925,0.017286598682403564,0.040761524536149146,0.05058235905576632,noise
KDSB,BT-UNet,5,actmish,5,0,0.5217965602874756,0.5422073006629944,0.06491649629400675,-0.01187947392463684,0.009884059429168701,0.04627782818089191,0.256699036916816,noise
KDSB,BT-UNet,5,aug025,5,0,0.5215623021125794,0.5252285599708557,0.05319087812662144,-0.012113732099533037,-0.007094681262969971,0.04318172050878026,0.28052916736075667,noise
KDSB,BT-UNet,5,noskip,5,0,0.5194351673126221,0.5078651905059814,0.027677073356517794,-0.014240866899490334,-0.02445805072784424,0.03810526421426059,0.3737243972228069,noise
KDSB,BT-UNet,5,w32,5,0,0.5189974069595337,0.5155213475227356,0.06159237257614374,-0.014678627252578735,-0.016801893711090088,0.04536001713881836,0.32360277130532666,noise
KDSB,BT-UNet,5,actleakyrelu,5,0,0.5167489290237427,0.4945857524871826,0.0501102070207572,-0.016927105188369707,-0.037737488746643066,0.04243835119858951,0.39886340327312947,noise
KDSB,BT-UNet,5,cropflip,5,0,0.5146121561527253,0.548278272151947,0.11415393458026434,-0.01906387805938714,0.015955030918121338,0.06249024915099354,0.30506964395874936,noise
KDSB,BT-UNet,5,actgelu,5,0,0.5037208437919617,0.4683354794979095,0.065056065595899,-0.029955190420150712,-0.0639877617359162,0.04631701001884489,0.6467427497578734,noise
KDSB,BT-UNet,5,e25,5,0,0.503430700302124,0.4964582324028015,0.018010970045298412,-0.030245333909988403,-0.03586500883102417,0.0369281206036365,0.8190325804722918,noise
KDSB,BT-UNet,5,lambda0001,5,0,0.4845181882381439,0.5153722167015076,0.09840053126771685,-0.049157845973968495,-0.016951024532318115,0.05688004917082948,0.8642370513135692,noise
KDSB,BT-UNet,5,e50,5,0,0.48308796286582945,0.4890526533126831,0.0318213529892361,-0.05058807134628296,-0.04327058792114258,0.03874695838559858,1.3056010962936764,noise
KDSB,BT-UNet,5,e0,5,0,0.482865509390831,0.5400334000587463,0.22613916514006221,-0.0508105248212814,0.007710158824920654,0.10736196479652868,0.4732637383972713,noise
KDSB,BT-UNet,5,d5,5,0,0.44887976050376893,0.4438128471374511,0.10950088840526372,-0.08479627370834347,-0.08851039409637457,0.06080210518749,1.3946272657314218,noise
KDSB,BT-UNet,5,sslbudget5,5,5,0.0003699925437103,0.0003699925437103,0.0,-0.5333060416684021,-0.5319532486901154,0.036038966174436735,14.798039407875367,clear
KDSB,BT-UNet,10,outbn0,5,0,0.7069460034370423,0.6923781633377075,0.10668005564642707,0.14562361240386967,0.12980753183364868,0.053417508249498556,2.7261401210199034,weak
KDSB,BT-UNet,10,outtanh,5,0,0.6307870864868164,0.6425789594650269,0.04370227927784288,0.06946469545364375,0.08000832796096802,0.030972264622658865,2.2428032402520666,weak
KDSB,BT-UNet,10,outsoftmax,5,0,0.6120395421981811,0.6068965196609497,0.0250690863940508,0.05071715116500852,0.04432588815689087,0.026514055735906712,1.9128401807017672,noise
KDSB,BT-UNet,10,frozen,5,0,0.5877766489982605,0.5928893685340881,0.035146271840101335,0.026454257965087935,0.030318737030029297,0.028711590305866914,0.921379055749562,noise
