Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Prob Max,Prob Mean,Prob p99.9,Frac Pixels > 0.5,Test Dice @0.5,Best Threshold,Test Dice @best,Dice Range 0.3-0.7,Diagnosis,Dice @0.05,Dice @0.10,Dice @0.15,Dice @0.20,Dice @0.25,Dice @0.30,Dice @0.35,Dice @0.40,Dice @0.45,Dice @0.50,Dice @0.55,Dice @0.60,Dice @0.65,Dice @0.70,Dice @0.75,Dice @0.80,Dice @0.85,Dice @0.90,Dice @0.95
ISIC2018,BT-UNet,base,50,4,fold,1.0,0.29638445377349854,1.0,0.29151278686523435,0.8427347540855408,0.9,0.8572629690170288,0.0175054669380188,healthy,0.7886151671409607,0.8100107312202454,0.8194150328636169,0.825218141078949,0.8294962048530579,0.832905650138855,0.8357986807823181,0.838313102722168,0.840599536895752,0.8427347540855408,0.8447250723838806,0.8466540575027466,0.84856116771698,0.8504111170768738,0.8522606492042542,0.8540760278701782,0.8557865023612976,0.8572629690170288,0.8562564849853516
ISIC2018,BT-UNet,base,5,0,fold,1.0,0.568693220615387,1.0,0.5661428680419922,0.5587329268455505,0.85,0.6126375794410706,0.06561070680618286,threshold-sensitive,0.45382043719291687,0.47593066096305847,0.49178454279899597,0.5043687224388123,0.515292227268219,0.5250565409660339,0.5341830849647522,0.5425962209701538,0.5508215427398682,0.5587329268455505,0.5664933323860168,0.5740538835525513,0.5821492671966553,0.5906672477722168,0.5996996164321899,0.6075001358985901,0.6126375794410706,0.6123388409614563,0.5986491441726685
ISIC2018,BT-UNet,base,5,1,fold,1.0,0.6377902626991272,1.0,0.6447642211914062,0.5295394062995911,0.95,0.6164600849151611,0.08042901754379272,threshold-sensitive,0.43282350897789,0.445028692483902,0.45469608902931213,0.4653591215610504,0.47703975439071655,0.4892009496688843,0.5002909898757935,0.5104785561561584,0.52024245262146,0.5295394062995911,0.5387646555900574,0.5484307408332825,0.5588964819908142,0.569629967212677,0.580779492855072,0.5915975570678711,0.6026222109794617,0.6125900149345398,0.6164600849151611
ISIC2018,BT-UNet,base,5,2,fold,0.9951171875,0.5197321772575378,0.98779296875,0.4231728973388672,0.6512925624847412,0.65,0.6881152391433716,0.21415004134178162,threshold-sensitive,0.41570836305618286,0.4157082736492157,0.4156760275363922,0.41748905181884766,0.433255136013031,0.47396519780158997,0.5224338173866272,0.5704801678657532,0.6156035661697388,0.6512925624847412,0.6736865639686584,0.6857687830924988,0.6881152391433716,0.6814993619918823,0.664532482624054,0.6356344223022461,0.5839642286300659,0.48142701387405396,0.24996113777160645
ISIC2018,BT-UNet,base,5,3,fold,1.0,0.6212788820266724,1.0,0.6097634887695312,0.5574962496757507,0.85,0.6258007884025574,0.12798669934272766,threshold-sensitive,0.4167671501636505,0.42353302240371704,0.4353615939617157,0.44973859190940857,0.46657830476760864,0.4846482574939728,0.5037979483604431,0.5227683186531067,0.5408024787902832,0.5574962496757507,0.5735137462615967,0.5889795422554016,0.6020889282226562,0.6126349568367004,0.6196615099906921,0.6233587861061096,0.6258007884025574,0.6231273412704468,0.6025627255439758
ISIC2018,BT-UNet,base,5,4,fold,1.0,0.575936496257782,1.0,0.5746804809570313,0.5480290055274963,0.9,0.6089616417884827,0.06183367967605591,threshold-sensitive,0.4506343901157379,0.47247475385665894,0.4873092770576477,0.4994533061981201,0.5095670223236084,0.5185509324073792,0.526761531829834,0.5341458916664124,0.5411291718482971,0.5480290055274963,0.5552117824554443,0.5633350610733032,0.5717689394950867,0.5803846120834351,0.58863365650177,0.5960665345191956,0.6028845310211182,0.6089616417884827,0.6084467768669128
ISIC2018,BT-UNet,outbn0,5,0,fold,1.0,0.21406228840351105,1.0,0.2061168975830078,0.7631984949111938,0.2,0.7730227708816528,0.025398075580596924,healthy,0.7617213726043701,0.7712810635566711,0.7726238965988159,0.7730227708816528,0.7725762128829956,0.7714206576347351,0.769943356513977,0.7681591510772705,0.7658715844154358,0.7631984949111938,0.7600706815719604,0.7563177943229675,0.7516449093818665,0.7460225820541382,0.7389553189277649,0.7302302122116089,0.7184157967567444,0.6999127864837646,0.6658445000648499
ISIC2018,BT-UNet,outbn0,5,1,fold,1.0,0.49429792165756226,1.0,0.4615246429443359,0.6319243311882019,0.75,0.6494045257568359,0.05093890428543091,healthy,0.4763142466545105,0.5150118470191956,0.5438705086708069,0.5655325651168823,0.5832364559173584,0.5976318717002869,0.6095812916755676,0.6189609169960022,0.6259548664093018,0.6319243311882019,0.6372986435890198,0.6418415904045105,0.6458215117454529,0.6485707759857178,0.6494045257568359,0.6491512060165405,0.6470661759376526,0.6414745450019836,0.6285176873207092
ISIC2018,BT-UNet,outbn0,5,2,fold,1.0,0.508163571357727,1.0,0.49552593994140626,0.5896405577659607,0.95,0.6367349028587341,0.041435837745666504,threshold-sensitive,0.49943333864212036,0.5233968496322632,0.5385918021202087,0.5502017140388489,0.559512734413147,0.5670515298843384,0.5732062458992004,0.5788870453834534,0.5844680666923523,0.5896405577659607,0.5945352911949158,0.5994182825088501,0.6040352582931519,0.6084873676300049,0.6132997274398804,0.6184988021850586,0.6242101788520813,0.6306299567222595,0.6367349028587341
ISIC2018,BT-UNet,outbn0,5,3,fold,1.0,0.2262984812259674,1.0,0.219078369140625,0.756523609161377,0.2,0.764672040939331,0.02404642105102539,healthy,0.7451375126838684,0.7590879201889038,0.7630720138549805,0.764672040939331,0.7645671367645264,0.7638315558433533,0.7626293897628784,0.7611241340637207,0.7589846849441528,0.756523609161377,0.7534570097923279,0.7498418092727661,0.7453715801239014,0.7397851347923279,0.7326598167419434,0.7231652736663818,0.7094111442565918,0.686488926410675,0.6388108134269714
ISIC2018,BT-UNet,outbn0,5,4,fold,1.0,0.21395498514175415,1.0,0.2085264434814453,0.7686381936073303,0.15,0.7830873727798462,0.02710062265396118,healthy,0.7724986672401428,0.7817833423614502,0.7830873727798462,0.7823726534843445,0.780837893486023,0.7789119482040405,0.7767983675003052,0.774473249912262,0.7717475295066833,0.7686381936073303,0.7651327252388,0.7613512277603149,0.7568882703781128,0.7518113255500793,0.7456477284431458,0.7379285097122192,0.7273710370063782,0.7113295793533325,0.6803557872772217
ISIC2018,SimSiam,base,10,0,fold,0.98095703125,0.4027528464794159,0.9501953125,0.28573509216308596,0.8083546161651611,0.7,0.8160167336463928,0.03038477897644043,healthy,0.41570836305618286,0.41570836305618286,0.4157131612300873,0.4661843776702881,0.7601550221443176,0.7856319546699524,0.7956879138946533,0.801561176776886,0.8055469989776611,0.8083546161651611,0.8108199238777161,0.8131518363952637,0.8150349259376526,0.8160167336463928,0.8152841329574585,0.8106722235679626,0.7944214940071106,0.7075113654136658,0.016925601288676262
ISIC2018,SimSiam,base,10,1,fold,1.0,0.57994145154953,1.0,0.542294692993164,0.5950387120246887,0.95,0.6270257830619812,0.04741358757019043,threshold-sensitive,0.4436821937561035,0.47599950432777405,0.5074524283409119,0.5331169962882996,0.5518004298210144,0.5648683905601501,0.5746542811393738,0.5827692747116089,0.5894580483436584,0.5950387120246887,0.5999520421028137,0.6044685244560242,0.6086564660072327,0.6122819781303406,0.6156975030899048,0.6187024116516113,0.6217840313911438,0.624572217464447,0.6270257830619812
ISIC2018,SimSiam,base,10,2,fold,0.998046875,0.2967533469200134,0.99169921875,0.27145732116699217,0.8275327086448669,0.9,0.8326916098594666,0.007335066795349121,healthy,0.7676151990890503,0.8078564405441284,0.8152585029602051,0.818965494632721,0.8213728070259094,0.8231280446052551,0.8245243430137634,0.8256754279136658,0.8266622424125671,0.8275327086448669,0.8283205628395081,0.8290615677833557,0.8297520279884338,0.8304631114006042,0.8311192989349365,0.8317521810531616,0.8323935270309448,0.8326916098594666,0.8287540078163147
