Dataset,Model,Label Fraction (%),Kind,Fold,Val Source,File,Train Accuracy,Train Precision,Train Recall,Train MeanIoU,Train Dice,Train HD,Train MyIoU,Train MAE,Val Accuracy,Val Precision,Val Recall,Val MeanIoU,Val Dice,Val HD,Val MyIoU,Val MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
ISIC2018,BT-UNet,5,fold,3.0,val folder,model_ISIC2018_BT-UNet_5pct_fold3.keras,0.6879096,0.42807803,0.9107981,0.50597143,0.55896544,9.645718030734251,0.032987226112906616,0.3120904,0.62582886,0.42559877,0.9179071,0.45217484,0.5570514,11.249951252472643,0.02444688789993634,0.37417114,0.6202102,0.4311939,0.88904434,0.4469201,0.55741835,11.033234316606148,0.01954700406931637,0.37978986
ISIC2018,BT-UNet,5,fold,4.0,val folder,model_ISIC2018_BT-UNet_5pct_fold4.keras,0.67016834,0.42031816,0.90358895,0.48916942,0.5459806,9.993933708216845,0.0301134624090409,0.32983163,0.5988867,0.4035855,0.87076366,0.4241669,0.52813417,11.118645258562337,0.020361743541999662,0.40111327,0.6292559,0.4348497,0.844853,0.45420074,0.5479964,10.481358150627347,0.02441321566544203,0.37074408
ISIC2018,SimSiam,10,ensemble,,val folder,model_ISIC2018_SimSiam-UNET_10pct_ensemble.keras,0.9715138,0.93211406,0.9479588,0.92503786,0.907888,4.284031806602776,0.6890441369012799,0.028486215,0.90854585,0.82573897,0.85826683,0.8029109,0.833994,5.689551480695944,0.49619523809523813,0.09145416,0.8913582,0.8168897,0.8155997,0.7731721,0.8159891,6.030989021596833,0.4467556725219225,0.10864183
ISIC2018,SimSiam,10,fold,0.0,val folder,model_ISIC2018_SimSiam-UNET_10pct_fold0.keras,0.9715658,0.9377602,0.941612,0.92485154,0.9104658,4.408342830339976,0.7038428801472282,0.0284342,0.90692794,0.83415586,0.83804756,0.7981563,0.82821,5.654388538215496,0.5082402597402598,0.09307205,0.8906392,0.8262873,0.7981443,0.77014756,0.80833465,5.9577677177460515,0.47899359307359307,0.10936087
ISIC2018,SimSiam,10,fold,1.0,val folder,model_ISIC2018_SimSiam-UNET_10pct_fold1.keras,0.7025315,0.44523543,0.87141365,0.51979446,0.5763393,9.117162391363008,0.051577940550937666,0.29746848,0.6640575,0.4522643,0.88097644,0.4892835,0.6053487,10.64245548208756,0.04142571519506868,0.33594254,0.66099757,0.46021745,0.8437099,0.48614848,0.5950124,10.613025641573632,0.04143731841598169,0.33900243
ISIC2018,SimSiam,10,fold,2.0,val folder,model_ISIC2018_SimSiam-UNET_10pct_fold2.keras,0.98997813,0.97178257,0.98138726,0.97076494,0.96632046,3.441066240433985,0.9198067632850243,0.010021855,0.9161949,0.8683374,0.82999325,0.8138256,0.8501808,5.47909161762219,0.5329833333333334,0.083805084,0.8972972,0.8557437,0.78522116,0.7798259,0.82752687,5.91619937892937,0.48707218253968254,0.10270282
ISIC2018,SimSiam,10,fold,3.0,val folder,model_ISIC2018_SimSiam-UNET_10pct_fold3.keras,0.99567837,0.9913888,0.9910814,0.9884516,0.98601043,2.963849988663348,0.9884057971014494,0.0043216283,0.9113867,0.86512953,0.81408286,0.8036146,0.84575933,5.717331653864635,0.5095944444444443,0.08861328,0.89926404,0.86735123,0.7785725,0.7824236,0.8312703,5.921913769607383,0.48254973665223655,0.10073601
ISIC2018,SimSiam,10,fold,4.0,val folder,model_ISIC2018_SimSiam-UNET_10pct_fold4.keras,0.72023076,0.44850308,0.7893451,0.5282307,0.57156175,9.394548574260831,0.07054763476918785,0.27976924,0.6751041,0.45950162,0.8337931,0.49779308,0.6058812,10.783937857739344,0.058181551271896545,0.32489595,0.6844345,0.4798635,0.7941106,0.5071489,0.6014868,10.556616870879319,0.07024337356956326,0.31556556
ISIC2018,SimSiam,20,ensemble,,val folder,model_ISIC2018_SimSiam-UNET_20pct_ensemble.keras,0.994498,0.9888161,0.98803616,0.9849626,0.981101,3.1478196425321205,0.9749034749034751,0.0055020307,0.9270486,0.88795644,0.8496744,0.8356622,0.8675256,5.279495974413425,0.6068333333333334,0.072951354,0.9114741,0.881596,0.8094928,0.8068559,0.8497919,5.556566874545504,0.5698663095238095,0.08852585
ISIC2018,SimSiam,20,fold,0.0,val folder,model_ISIC2018_SimSiam-UNET_20pct_fold0.keras,0.99434304,0.9874844,0.98917264,0.98474324,0.9815013,3.197137440966679,0.9746376811594203,0.0056569935,0.92672926,0.8806059,0.8576102,0.83574784,0.8683471,5.335929868935774,0.5648452380952381,0.07327072,0.907989,0.8720208,0.8075031,0.8005266,0.8435101,5.80844382595161,0.5270975,0.092011005
ISIC2018,SimSiam,20,fold,1.0,val folder,model_ISIC2018_SimSiam-UNET_20pct_fold1.keras,0.9948583,0.988174,0.9901105,0.985901,0.98273194,3.0798911879652686,0.981280193236715,0.005141696,0.9198393,0.8749382,0.836591,0.82108974,0.8525922,5.54755472018556,0.54505,0.08016068,0.9065554,0.8707789,0.8033635,0.7976063,0.8431156,5.822727755133074,0.5132122619047619,0.09344464
ISIC2018,SimSiam,20,fold,2.0,val folder,model_ISIC2018_SimSiam-UNET_20pct_fold2.keras,0.9936389,0.98731446,0.98534226,0.9823841,0.97768086,3.2558497495554994,0.96268115942029,0.006361146,0.9201863,0.87062395,0.84359485,0.82237405,0.8527544,5.574296610861216,0.5407571428571427,0.07981369,0.9057939,0.8648211,0.8078463,0.79674065,0.8378616,5.819976343195334,0.4943337054612055,0.09420609
ISIC2018,SimSiam,20,fold,3.0,val folder,model_ISIC2018_SimSiam-UNET_20pct_fold3.keras,0.99256957,0.98358005,0.9851653,0.9797623,0.9756456,3.3260135702791858,0.9583132530120482,0.0074304054,0.91873384,0.87213945,0.8356133,0.81897557,0.85604125,5.562207607064419,0.5669820512820514,0.08126617,0.9062504,0.86603963,0.80811673,0.79756,0.8414043,5.805305324337014,0.5128868326118325,0.09374959
ISIC2018,SimSiam,20,fold,4.0,val folder,model_ISIC2018_SimSiam-UNET_20pct_fold4.keras,0.9935756,0.9867603,0.9864531,0.98257583,0.9791037,3.2918161433476345,0.9696385542168674,0.0064243916,0.9223586,0.8751321,0.8467176,0.8266551,0.85934675,5.597255463756817,0.5484318181818183,0.07764145,0.9036906,0.8619037,0.8031451,0.79262614,0.8352802,5.939908641766728,0.46773869047619054,0.096309476
