Dataset,Model,Label Fraction (%),Kind,Fold,Val Source,File,Train Accuracy,Train Precision,Train Recall,Train MeanIoU,Train Dice,Train HD,Train MyIoU,Train MAE,Val Accuracy,Val Precision,Val Recall,Val MeanIoU,Val Dice,Val HD,Val MyIoU,Val MAE,Test Accuracy,Test Precision,Test Recall,Test MeanIoU,Test Dice,Test HD,Test MyIoU,Test MAE
KDSB,BT-UNet,5,fold,3.0,val folder,model_KDSB_BT-UNet_5pct_fold3.keras,0.81655276,0.4431551,0.793056,0.5942737,0.49159604,9.701667800859473,0.0759728136407273,0.18344727,0.80038273,0.48957688,0.73894304,0.59222925,0.5103844,9.254621504947261,0.05905427383503964,0.19961728,0.8269149,0.5235425,0.76522446,0.6246497,0.53232324,8.771605186704049,0.06940829926914736,0.17308512
KDSB,BT-UNet,5,fold,4.0,val folder,model_KDSB_BT-UNet_5pct_fold4.keras,0.5321228,0.23147091,0.97626454,0.34309965,0.4017609,12.453544229929893,0.027584899906881327,0.4678772,0.6602199,0.3579786,0.95242614,0.46756446,0.51869524,10.716859226745896,0.047583224711134985,0.3397801,0.69533396,0.375126,0.9598954,0.49925336,0.5390257,10.098206499599577,0.05234562402541802,0.30466604
KDSB,SimSiam,10,ensemble,,val folder,model_KDSB_SimSiam-UNET_10pct_ensemble.keras,0.8796632,0.6272405,0.51071304,0.6306747,0.55098134,8.250896470345362,0.11035498035816697,0.12033679,0.86069643,0.67332625,0.5442301,0.63742256,0.5554511,8.455590766518391,0.09931096783344914,0.1393036,0.84927905,0.6475615,0.41500735,0.58761084,0.4948823,8.66445539020413,0.10702111097334628,0.15072095
KDSB,SimSiam,10,fold,0.0,val folder,model_KDSB_SimSiam-UNET_10pct_fold0.keras,0.8723408,0.68120605,0.4166905,0.6058347,0.49936715,8.252024304004493,0.09774270986436566,0.12765923,0.8664671,0.74903756,0.46620974,0.62822473,0.53439826,8.301021658348565,0.1027223213019205,0.13353285,0.85411114,0.72661734,0.34489825,0.5747005,0.45808613,8.356342719495592,0.0885887882985001,0.14588886
KDSB,SimSiam,10,fold,1.0,val folder,model_KDSB_SimSiam-UNET_10pct_fold1.keras,0.8733446,0.54809093,0.56893504,0.6247962,0.54376507,8.274775690688518,0.06750723699625231,0.1266554,0.855762,0.65431523,0.5399624,0.6295232,0.54451144,8.58602103294253,0.06095364786231501,0.14423801,0.8555679,0.6601065,0.45964542,0.60687685,0.51658136,8.54817671775909,0.06366927740106307,0.14443214
KDSB,SimSiam,10,fold,2.0,val folder,model_KDSB_SimSiam-UNET_10pct_fold2.keras,0.88204545,0.67409205,0.44387594,0.6194489,0.5305073,8.138300266749663,0.10011232503880187,0.11795453,0.86887306,0.7498004,0.48391697,0.63598156,0.5500071,8.395459814025902,0.0936180442980377,0.13112696,0.86008793,0.75333744,0.36767432,0.588996,0.48683265,8.47582467473215,0.10314702743638823,0.1399121
KDSB,SimSiam,10,fold,3.0,val folder,model_KDSB_SimSiam-UNET_10pct_fold3.keras,0.7551921,0.3057222,0.4866006,0.48345056,0.4258267,8.987560194799759,0.09501869090820769,0.24480791,0.7221018,0.35353467,0.526153,0.4793766,0.39258724,9.688734397665662,0.06121951302797714,0.2778982,0.7022686,0.2841864,0.3962049,0.43845138,0.30639634,9.873607697236997,0.041435541270878215,0.29773143
KDSB,SimSiam,10,fold,4.0,val folder,model_KDSB_SimSiam-UNET_10pct_fold4.keras,0.77167904,0.35715228,0.65007806,0.5232668,0.5359003,8.664511266032171,0.0774512975646698,0.22832099,0.7288563,0.3872801,0.6889694,0.5083939,0.52346706,9.515169062795067,0.07259104251545544,0.27114367,0.72492695,0.3556921,0.59138685,0.48823836,0.51057506,9.352661914165205,0.07965309899540693,0.27507308
KDSB,SimSiam,20,ensemble,,val folder,model_KDSB_SimSiam-UNET_20pct_ensemble.keras,0.8305166,0.43338636,0.6697239,0.5849885,0.5766835,7.921492110825138,0.09925873224247093,0.16948341,0.7395953,0.3978372,0.6728419,0.5169818,0.5128161,9.353783116918683,0.07047759778181428,0.26040468,0.7421795,0.37167296,0.5605001,0.49999642,0.48765168,9.293188768715005,0.08012105116039057,0.2578205
KDSB,SimSiam,20,fold,0.0,val folder,model_KDSB_SimSiam-UNET_20pct_fold0.keras,0.88341117,0.5410023,0.65568006,0.646953,0.6146854,7.297902884539674,0.12570343309465193,0.11658883,0.83272356,0.5578554,0.6539735,0.61960256,0.5625905,8.505187824265725,0.09087166663675474,0.16727641,0.8206922,0.516797,0.5437077,0.5804977,0.5261937,8.616234233674927,0.09548957636728007,0.17930782
KDSB,SimSiam,20,fold,1.0,val folder,model_KDSB_SimSiam-UNET_20pct_fold1.keras,0.8677982,0.51952636,0.69298625,0.63798815,0.60408574,7.471111947151589,0.09213832777842791,0.13220178,0.75578725,0.4198339,0.6857876,0.5352597,0.5457069,9.04295086222912,0.07116463043528073,0.24421276,0.7669423,0.41025916,0.5801929,0.5275604,0.51858586,9.03323279632462,0.07383606481763581,0.23305766
KDSB,SimSiam,20,fold,2.0,val folder,model_KDSB_SimSiam-UNET_20pct_fold2.keras,0.8130346,0.38607606,0.62157065,0.55412984,0.5356936,8.160525555117584,0.08120288795894266,0.18696539,0.72248006,0.372044,0.63095284,0.49471608,0.47196424,9.703892251349592,0.053621325097461536,0.2775199,0.7132483,0.32434416,0.5010346,0.4644788,0.43606526,9.686045538844182,0.06158468584217256,0.2867517
